Date,BCP,FGI,log_price,t,lppls_score,lppls_r2_score,lppls_urgency,lppls_tc_median,lppls_days_to_tc,lppls_valid_fits,lppls_score_smooth,lppls_r2_score_smooth,lppls_urgency_smooth,lppls_score_norm,lppls_days_to_tc_smooth,r2_signal,lppls_r2_smoothed,lppls_score_raw,lppls_fit_weight,lppls_tc_median_smooth,lppls_urgency_smooth_tc,lppls_score_tc_smooth,lppls_score_tc_smooth_smooth,lppls_urgency_smooth_tc_smooth,lppls_fit_weight_smooth,lppls_valid_fits_smooth,lppls_final_score,lppls_final_score_norm,lppls_r2_score_filled,lppls_valid_fits_filled,lppls_custom_final_score,lppls_custom_final_score_smooth
2022-06-22,19987.029296875,11.0,9.902838806989985,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2022-06-23,21085.876953125,11.0,9.956358756642537,1,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2022-06-24,21231.65625,11.0,9.963248566256299,2,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2022-06-25,21502.337890625,14.0,9.975916947302924,3,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2022-06-26,21027.294921875,14.0,9.953576630935627,4,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2022-06-27,20735.478515625,12.0,9.93960145009083,5,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2022-06-28,20280.634765625,10.0,9.91742175729541,6,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2022-06-29,20104.0234375,13.0,9.908675245035521,7,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2022-06-30,19784.7265625,11.0,9.89266553327924,8,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2022-07-01,19269.3671875,11.0,9.866271921611277,9,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2022-07-02,19242.255859375,14.0,9.864863965754903,10,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2022-07-03,19297.076171875,11.0,9.867708869731416,11,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2022-07-04,20231.26171875,14.0,9.914984296914424,12,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2022-07-05,20190.115234375,19.0,9.912948418788119,13,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
